fare_id,route_id,origin_id,destination_id
OW_1_20130616,Bu-120,1,1
OW_2_20130616,Bu-120,1,2
OW_3_20130616,Bu-120,1,3
OW_4_20130616,Bu-120,1,4
OW_5_20130616,Bu-120,1,5
OW_6_20130616,Bu-120,1,6
OW_2_20130616,Bu-120,2,1
OW_1_20130616,Bu-120,2,2
OW_2_20130616,Bu-120,2,3
OW_3_20130616,Bu-120,2,4
OW_4_20130616,Bu-120,2,5
OW_5_20130616,Bu-120,2,6
OW_3_20130616,Bu-120,3,1
OW_2_20130616,Bu-120,3,2
OW_1_20130616,Bu-120,3,3
OW_2_20130616,Bu-120,3,4
OW_3_20130616,Bu-120,3,5
OW_4_20130616,Bu-120,3,6
OW_4_20130616,Bu-120,4,1
OW_3_20130616,Bu-120,4,2
OW_2_20130616,Bu-120,4,3
OW_1_20130616,Bu-120,4,4
OW_2_20130616,Bu-120,4,5
OW_3_20130616,Bu-120,4,6
OW_5_20130616,Bu-120,5,1
OW_4_20130616,Bu-120,5,2
OW_3_20130616,Bu-120,5,3
OW_2_20130616,Bu-120,5,4
OW_1_20130616,Bu-120,5,5
OW_2_20130616,Bu-120,5,6
OW_6_20130616,Bu-120,6,1
OW_5_20130616,Bu-120,6,2
OW_4_20130616,Bu-120,6,3
OW_3_20130616,Bu-120,6,4
OW_2_20130616,Bu-120,6,5
OW_1_20130616,Bu-120,6,6
OW_1_20130616,Li-120,1,1
OW_2_20130616,Li-120,1,2
OW_3_20130616,Li-120,1,3
OW_4_20130616,Li-120,1,4
OW_5_20130616,Li-120,1,5
OW_6_20130616,Li-120,1,6
OW_2_20130616,Li-120,2,1
OW_1_20130616,Li-120,2,2
OW_2_20130616,Li-120,2,3
OW_3_20130616,Li-120,2,4
OW_4_20130616,Li-120,2,5
OW_5_20130616,Li-120,2,6
OW_3_20130616,Li-120,3,1
OW_2_20130616,Li-120,3,2
OW_1_20130616,Li-120,3,3
OW_2_20130616,Li-120,3,4
OW_3_20130616,Li-120,3,5
OW_4_20130616,Li-120,3,6
OW_4_20130616,Li-120,4,1
OW_3_20130616,Li-120,4,2
OW_2_20130616,Li-120,4,3
OW_1_20130616,Li-120,4,4
OW_2_20130616,Li-120,4,5
OW_3_20130616,Li-120,4,6
OW_5_20130616,Li-120,5,1
OW_4_20130616,Li-120,5,2
OW_3_20130616,Li-120,5,3
OW_2_20130616,Li-120,5,4
OW_1_20130616,Li-120,5,5
OW_2_20130616,Li-120,5,6
OW_6_20130616,Li-120,6,1
OW_5_20130616,Li-120,6,2
OW_4_20130616,Li-120,6,3
OW_3_20130616,Li-120,6,4
OW_2_20130616,Li-120,6,5
OW_1_20130616,Li-120,6,6
OW_1_20130616,Lo-120,1,1
OW_2_20130616,Lo-120,1,2
OW_3_20130616,Lo-120,1,3
OW_4_20130616,Lo-120,1,4
OW_5_20130616,Lo-120,1,5
OW_6_20130616,Lo-120,1,6
OW_2_20130616,Lo-120,2,1
OW_1_20130616,Lo-120,2,2
OW_2_20130616,Lo-120,2,3
OW_3_20130616,Lo-120,2,4
OW_4_20130616,Lo-120,2,5
OW_5_20130616,Lo-120,2,6
OW_3_20130616,Lo-120,3,1
OW_2_20130616,Lo-120,3,2
OW_1_20130616,Lo-120,3,3
OW_2_20130616,Lo-120,3,4
OW_3_20130616,Lo-120,3,5
OW_4_20130616,Lo-120,3,6
OW_4_20130616,Lo-120,4,1
OW_3_20130616,Lo-120,4,2
OW_2_20130616,Lo-120,4,3
OW_1_20130616,Lo-120,4,4
OW_2_20130616,Lo-120,4,5
OW_3_20130616,Lo-120,4,6
OW_5_20130616,Lo-120,5,1
OW_4_20130616,Lo-120,5,2
OW_3_20130616,Lo-120,5,3
OW_2_20130616,Lo-120,5,4
OW_1_20130616,Lo-120,5,5
OW_2_20130616,Lo-120,5,6
OW_6_20130616,Lo-120,6,1
OW_5_20130616,Lo-120,6,2
OW_4_20130616,Lo-120,6,3
OW_3_20130616,Lo-120,6,4
OW_2_20130616,Lo-120,6,5
OW_1_20130616,Lo-120,6,6
OW_1_20130616,TaSj-120,1,1
OW_2_20130616,TaSj-120,1,2
OW_3_20130616,TaSj-120,1,3
OW_4_20130616,TaSj-120,1,4
OW_5_20130616,TaSj-120,1,5
OW_6_20130616,TaSj-120,1,6
OW_2_20130616,TaSj-120,2,1
OW_1_20130616,TaSj-120,2,2
OW_2_20130616,TaSj-120,2,3
OW_3_20130616,TaSj-120,2,4
OW_4_20130616,TaSj-120,2,5
OW_5_20130616,TaSj-120,2,6
OW_3_20130616,TaSj-120,3,1
OW_2_20130616,TaSj-120,3,2
OW_1_20130616,TaSj-120,3,3
OW_2_20130616,TaSj-120,3,4
OW_3_20130616,TaSj-120,3,5
OW_4_20130616,TaSj-120,3,6
OW_4_20130616,TaSj-120,4,1
OW_3_20130616,TaSj-120,4,2
OW_2_20130616,TaSj-120,4,3
OW_1_20130616,TaSj-120,4,4
OW_2_20130616,TaSj-120,4,5
OW_3_20130616,TaSj-120,4,6
OW_5_20130616,TaSj-120,5,1
OW_4_20130616,TaSj-120,5,2
OW_3_20130616,TaSj-120,5,3
OW_2_20130616,TaSj-120,5,4
OW_1_20130616,TaSj-120,5,5
OW_2_20130616,TaSj-120,5,6
OW_6_20130616,TaSj-120,6,1
OW_5_20130616,TaSj-120,6,2
OW_4_20130616,TaSj-120,6,3
OW_3_20130616,TaSj-120,6,4
OW_2_20130616,TaSj-120,6,5
OW_1_20130616,TaSj-120,6,6
